"city";"count";"uf";"country";"latitude";"longitude"
"são paulo";8870;"são paulo";"brazil";-23.5475;-46.63611
"rio de janeiro";7060;"rio de janeiro";"brazil";-22.90278;-43.2075
"porto alegre";2425;"rio grande do sul";"brazil";-30.03306;-51.23
"belo horizonte";2327;"minas gerais";"brazil";-19.92083;-43.93778
"recife";1677;"pernambuco";"brazil";-8.05389;-34.88111
"fortaleza";1413;"ceará";"brazil";-3.71722;-38.54306
"curitiba";1252;"paraná";"brazil";-25.42778;-49.27306
"salvador";1112;"estado de bahía";"brazil";-12.97111;-38.51083
"ribeirão preto";762;"são paulo";"brazil";-21.1775;-47.81028
"brasília";724;"federal district";"brazil";-15.77972;-47.92972
"goiânia";639;"goiás";"brazil";-16.67861;-49.25389
"niterói";630;"rio de janeiro";"brazil";-22.88333;-43.10361
"natal";566;"rio grande do norte";"brazil";-5.795;-35.20944
"pelotas";549;"rio grande do sul";"brazil";-31.77194;-52.3425
"joão pessoa";535;"paraíba";"brazil";-7.115;-34.86306
"florianópolis";500;"santa catarina";"brazil";-27.59667;-48.54917
"santos";478;"são paulo";"brazil";-23.96083;-46.33361
"campina grande";476;"paraíba";"brazil";-7.23056;-35.88111
"juiz de fora";470;"minas gerais";"brazil";-21.76417;-43.35028
"são carlos";465;"são paulo";"brazil";-22.0175;-47.89083
"piracicaba";448;"são paulo";"brazil";-22.72528;-47.64917
"londrina";416;"paraná";"brazil";-23.31028;-51.16278
"manaus";378;"amazonas";"brazil";-3.10194;-60.025
"araraquara";372;"são paulo";"brazil";-21.79444;-48.17556
"vitória";365;"espírito santo";"brazil";-20.31944;-40.33778
"maringá";360;"paraná";"brazil";-23.42528;-51.93861
"são josé do rio preto";349;"são paulo";"brazil";-20.81972;-49.37944
"são luís";334;"maranhão";"brazil";-2.52972;-44.30278
"uberlândia";333;"minas gerais";"brazil";-18.91861;-48.27722
"bauru";327;"são paulo";"brazil";-22.31472;-49.06056
"santo andré";321;"são paulo";"brazil";-23.66389;-46.53833
"maceió";305;"alagoas";"brazil";-9.66583;-35.73528
"botucatu";287;"são paulo";"brazil";-22.88583;-48.445
"teresina";272;"piauí";"brazil";-5.08917;-42.80194
"aracaju";264;"sergipe";"brazil";-10.91111;-37.07167
"campo grande";245;"estado de mato grosso do sul";"brazil";-20.44278;-54.64639
"lavras";231;"minas gerais";"brazil";-21.24528;-44.99972
"jundiaí";219;"são paulo";"brazil";-23.18639;-46.88417
"marília";217;"são paulo";"brazil";-22.21389;-49.94583
"caxias do sul";211;"rio grande do sul";"brazil";-29.16806;-51.17944
"uberaba";210;"minas gerais";"brazil";-19.74833;-47.93194
"buenos aires";207;"buenos aires f.d.";"argentina";-34.61315;-58.37723
"são josé dos campos";205;"são paulo";"brazil";-23.17944;-45.88694
"presidente prudente";203;"são paulo";"brazil";-22.12556;-51.38889
"ponta grossa";197;"paraná";"brazil";-25.095;-50.16194
"sorocaba";197;"são paulo";"brazil";-23.50167;-47.45806
"araçatuba";195;"são paulo";"brazil";-21.20889;-50.43278
"cuiabá";166;"mato grosso";"brazil";-15.59611;-56.09667
"passo fundo";164;"rio grande do sul";"brazil";-28.26278;-52.40667
"são caetano do sul";163;"são paulo";"brazil";-23.62306;-46.55111
"são bernardo do campo";162;"são paulo";"brazil";-23.69389;-46.565
"jaú";153;"são paulo";"brazil";-22.29639;-48.55778
"franca";152;"são paulo";"brazil";-20.53861;-47.40083
"petrópolis";140;"rio de janeiro";"brazil";-22.505;-43.17861
"blumenau";135;"santa catarina";"brazil";-26.91944;-49.06611
"montes claros";130;"minas gerais";"brazil";-16.735;-43.86167
"assis";130;"são paulo";"brazil";-22.66167;-50.41222
"jaboticabal";123;"são paulo";"brazil";-21.25472;-48.32222
"campos dos goytacazes";118;"";"brazil";-21.754;-41.324
"bagé";115;"rio grande do sul";"brazil";-31.33139;-54.10694
"cruz alta";114;"rio grande do sul";"brazil";-28.63861;-53.60639
"são gonçalo";113;"";"brazil";-22.827;-43.054
"taubaté";112;"são paulo";"brazil";-23.02639;-45.55528
"feira de santana";111;"estado de bahía";"brazil";-12.26667;-38.96667
"volta redonda";109;"rio de janeiro";"brazil";-22.52306;-44.10417
"barretos";108;"são paulo";"brazil";-20.55722;-48.56778
"mogi das cruzes";108;"são paulo";"brazil";-23.52278;-46.18833
"mossoró";107;"rio grande do norte";"brazil";-5.1875;-37.34417
"catanduva";105;"são paulo";"brazil";-21.13778;-48.97278
"anápolis";101;"goiás";"brazil";-16.32667;-48.95278
"ijuí";101;"rio grande do sul";"brazil";-28.38778;-53.91472
"santo ângelo";101;"rio grande do sul";"brazil";-28.29917;-54.26306
"nova iguaçu";100;"rio de janeiro";"brazil";-22.75917;-43.45111
"santa cruz do sul";99;"rio grande do sul";"brazil";-29.7175;-52.42583
"araguari";98;"minas gerais";"brazil";-18.64722;-48.18722
"patos de minas";98;"minas gerais";"brazil";-18.57889;-46.51806
"limeira";97;"são paulo";"brazil";-22.56472;-47.40167
"joinville";96;"santa catarina";"brazil";-26.30444;-48.84556
"lages";96;"santa catarina";"brazil";-27.81611;-50.32611
"ipatinga";94;"minas gerais";"brazil";-19.46833;-42.53667
"itajubá";94;"minas gerais";"brazil";-22.42556;-45.45278
"governador valadares";93;"minas gerais";"brazil";-18.85111;-41.94944
"osasco";93;"são paulo";"brazil";-23.5325;-46.79167
"são leopoldo";91;"rio grande do sul";"brazil";-29.76028;-51.14722
"bogotá";89;"bogota d.c.";"colombia";4.60971;-74.08175
"itabuna";88;"estado de bahía";"brazil";-14.78556;-39.28028
"tupã";88;"são paulo";"brazil";-21.93472;-50.51361
"vitória da conquista";86;"estado de bahía";"brazil";-14.86611;-40.83944
"ituiutaba";86;"minas gerais";"brazil";-18.97428;-49.46212
"criciúma";86;"santa catarina";"brazil";-28.6775;-49.36972
"erechim";85;"rio grande do sul";"brazil";-27.63461;-52.2754
"montevideo";84;"montevideo";"uruguay";-34.90328;-56.18816
"cachoeira do sul";84;"rio grande do sul";"brazil";-30.03917;-52.89389
"americana";82;"são paulo";"brazil";-22.73917;-47.33139
"lins";82;"são paulo";"brazil";-21.67861;-49.7425
"poços de caldas";80;"minas gerais";"brazil";-21.78778;-46.56139
"guaratinguetá";79;"são paulo";"brazil";-22.81639;-45.1925
"barbacena";78;"minas gerais";"brazil";-21.22583;-43.77361
"guarulhos";77;"são paulo";"brazil";-23.46278;-46.53333
"colatina";76;"espírito santo";"brazil";-19.53944;-40.63056
"penápolis";76;"são paulo";"brazil";-21.41972;-50.0775
"pirassununga";76;"são paulo";"brazil";-21.99611;-47.42583
"patos";75;"paraíba";"brazil";-7.02444;-37.28
"araras";75;"são paulo";"brazil";-22.35694;-47.38417
"rio branco";74;"acre";"brazil";-9.97472;-67.81
"dourados";72;"estado de mato grosso do sul";"brazil";-22.22111;-54.80556
"caruaru";70;"pernambuco";"brazil";-8.28333;-35.97611
"ponte nova";69;"minas gerais";"brazil";-20.41639;-42.90861
"uruguaiana";69;"rio grande do sul";"brazil";-29.75472;-57.08833
"ilhéus";68;"estado de bahía";"brazil";-14.79364;-39.03949
"bento gonçalves";68;"rio grande do sul";"brazil";-29.17139;-51.51917
"ubá";67;"minas gerais";"brazil";-21.12;-42.94278
"apucarana";67;"paraná";"brazil";-23.55083;-51.46083
"cachoeiro de itapemirim";66;"espírito santo";"brazil";-20.84889;-41.11278
"divinópolis";66;"minas gerais";"brazil";-20.13889;-44.88389
"olinda";65;"pernambuco";"brazil";-8.00889;-34.85528
"porto";65;"porto";"portugal";41.14961;-8.61099
"alegrete";65;"rio grande do sul";"brazil";-29.78306;-55.79194
"rio do sul";64;"santa catarina";"brazil";-27.21417;-49.64306
"sete lagoas";63;"minas gerais";"brazil";-19.46583;-44.24667
"garanhuns";63;"pernambuco";"brazil";-8.88202;-36.50216
"novo hamburgo";63;"rio grande do sul";"brazil";-29.67833;-51.13056
"macapá";62;"amapá";"brazil";0.03889;-51.06639
"são joão del rei";62;"minas gerais";"brazil";-21.13556;-44.26167
"varginha";62;"minas gerais";"brazil";-21.55139;-45.43028
"guarapuava";62;"paraná";"brazil";-25.39048;-51.46541
"fernandópolis";62;"são paulo";"brazil";-20.28389;-50.24639
"arequipa";61;"arequipa";"peru";-16.39889;-71.535
"canoas";61;"rio grande do sul";"brazil";-29.91778;-51.18361
"bebedouro";61;"são paulo";"brazil";-20.94944;-48.47917
"alfenas";58;"minas gerais";"brazil";-21.42917;-45.94722
"ouro preto";58;"minas gerais";"brazil";-20.39484;-43.50517
"chapecó";58;"santa catarina";"brazil";-27.09639;-52.61833
"adamantina";58;"são paulo";"brazil";-21.68528;-51.0725
"três lagoas";57;"estado de mato grosso do sul";"brazil";-20.78741;-51.70406
"crato";56;"ceará";"brazil";-7.23417;-39.40944
"pouso alegre";56;"minas gerais";"brazil";-22.23;-45.93639
"teófilo otoni";56;"minas gerais";"brazil";-17.8575;-41.50528
"paranavaí";56;"paraná";"brazil";-23.07306;-52.46528
"duque de caxias";56;"rio de janeiro";"brazil";-22.78556;-43.31167
"birigui";56;"são paulo";"brazil";-21.28861;-50.34
"sertãozinho";56;"são paulo";"brazil";-21.13778;-47.99028
"umuarama";55;"paraná";"brazil";-23.76639;-53.325
"itajaí";55;"santa catarina";"brazil";-26.90778;-48.66194
"tubarão";55;"santa catarina";"brazil";-28.46667;-49.00694
"ourinhos";55;"são paulo";"brazil";-22.97889;-49.87056
"são joão da boa vista";55;"são paulo";"brazil";-21.96917;-46.79806
"alegre";54;"espírito santo";"brazil";-20.76361;-41.53306
"bragança paulista";54;"são paulo";"brazil";-22.95194;-46.54194
"andradina";53;"são paulo";"brazil";-20.89611;-51.37944
"ilha solteira";53;"são paulo";"brazil";-20.43278;-51.3425
"caratinga";52;"minas gerais";"brazil";-19.78972;-42.13917
"nova friburgo";52;"rio de janeiro";"brazil";-22.28194;-42.53111
"jequié";51;"estado de bahía";"brazil";-13.85875;-40.08512
"araxá";51;"minas gerais";"brazil";-19.59333;-46.94056
"itapetininga";51;"são paulo";"brazil";-23.59167;-48.05306
"taquaritinga";51;"são paulo";"brazil";-21.40611;-48.50472
"barra mansa";50;"rio de janeiro";"brazil";-22.54417;-44.17139
"santana do livramento";50;"rio grande do sul";"brazil";-30.89083;-55.53278
"vila velha";49;"espírito santo";"brazil";-20.32972;-40.2925
"coronel fabriciano";49;"minas gerais";"brazil";-19.51861;-42.62889
"foz do iguaçu";49;"paraná";"brazil";-25.54778;-54.58806
"lorena";49;"são paulo";"brazil";-22.73083;-45.12472
"campo mourão";48;"paraná";"brazil";-24.04309;-52.37929
"parnaíba";48;"piauí";"brazil";-2.90472;-41.77667
"são gabriel";48;"rio grande do sul";"brazil";-30.33639;-54.32
"corumbá";47;"estado de mato grosso do sul";"brazil";-19.00917;-57.65333
"passos";47;"minas gerais";"brazil";-20.71889;-46.60972
"juazeiro do norte";46;"ceará";"brazil";-7.21306;-39.31528
"lajeado";46;"rio grande do sul";"brazil";-29.46694;-51.96139
"olímpia";46;"são paulo";"brazil";-20.73722;-48.91472
"paraguaçu paulista";46;"são paulo";"brazil";-22.41278;-50.57583
"são borja";45;"rio grande do sul";"brazil";-28.66056;-56.00444
"porto velho";45;"rondônia";"brazil";-8.76194;-63.90389
"votuporanga";45;"são paulo";"brazil";-20.42278;-49.97278
"sobral";44;"ceará";"brazil";-3.68611;-40.34972
"conselheiro lafaiete";44;"minas gerais";"brazil";-20.66028;-43.78611
"resende";44;"rio de janeiro";"brazil";-22.46889;-44.44667
"joaçaba";44;"santa catarina";"brazil";-27.17806;-51.50472
"osvaldo cruz";44;"são paulo";"brazil";-21.79667;-50.87861
"dracena";44;"";"brazil";-21.483;-51.533
"são luiz gonzaga";43;"rio grande do sul";"brazil";-28.40833;-54.96083
"avaré";43;"são paulo";"brazil";-23.09861;-48.92583
"jacareí";43;"são paulo";"brazil";-23.30528;-45.96583
"sousa";42;"paraíba";"brazil";-6.75917;-38.22806
"garça";42;"são paulo";"brazil";-22.21056;-49.65611
"cornélio procópio";42;"";"brazil";-23.181;-50.647
"muriaé";41;"minas gerais";"brazil";-21.13056;-42.36639
"arapongas";41;"paraná";"brazil";-23.41944;-51.42444
"rio negro";41;"paraná";"brazil";-26.10583;-49.7975
"três de maio";41;"rio grande do sul";"brazil";-27.77333;-54.24
"bariri";41;"são paulo";"brazil";-22.07444;-48.74028
"batatais";41;"são paulo";"brazil";-20.89111;-47.585
"jales";41;"são paulo";"brazil";-20.26889;-50.54583
"iguatu";40;"ceará";"brazil";-6.35944;-39.29861
"havana";40;"ciudad de la habana";"cuba";23.13302;-82.38304
"timóteo";40;"minas gerais";"brazil";-19.58106;-42.64953
"espírito santo do pinhal";40;"são paulo";"brazil";-22.11583;-46.68278
"ituverava";40;"são paulo";"brazil";-20.33944;-47.78056
"mirassol";40;"";"brazil";-20.819;-49.521
"coimbra";39;"coimbra";"portugal";40.20564;-8.41955
"cambé";39;"paraná";"brazil";-23.27583;-51.27833
"pato branco";39;"paraná";"brazil";-26.22861;-52.67056
"rolândia";39;"paraná";"brazil";-23.30972;-51.36917
"são joão de meriti";39;"rio de janeiro";"brazil";-22.80389;-43.37222
"itapira";39;"são paulo";"brazil";-22.43611;-46.82167
"são josé do rio pardo";39;"são paulo";"brazil";-21.59556;-46.88861
"itaúna";38;"minas gerais";"brazil";-20.07528;-44.57639
"cajazeiras";38;"paraíba";"brazil";-6.89028;-38.55528
"carazinho";38;"rio grande do sul";"brazil";-28.28389;-52.78639
"arapiraca";37;"alagoas";"brazil";-9.7525;-36.66111
"catalão";37;"goiás";"brazil";-18.16583;-47.94639
"rosario";37;"santa fe";"argentina";-32.94682;-60.63932
"mococa";37;"são paulo";"brazil";-21.46778;-47.00472
"medellín";36;"departamento de antioquia";"colombia";6.25184;-75.56359
"caracas";36;"distrito federal";"venezuela";10.48801;-66.87919
"cianorte";36;"paraná";"brazil";-23.66333;-52.605
"marechal cândido rondon";36;"paraná";"brazil";-24.55611;-54.05667
"itaperuna";36;"rio de janeiro";"brazil";-21.205;-41.88778
"río verde";36;"san luis potosí";"mexico";21.93032;-99.99169
"areia";36;"";"brazil";-6.963;-35.692
"campo belo";35;"minas gerais";"brazil";-20.89722;-45.27722
"garibaldi";35;"rio grande do sul";"brazil";-29.25611;-51.53361
"santiago de cuba";35;"santiago de cuba";"cuba";20.02472;-75.82194
"mogi mirim";35;"são paulo";"brazil";-22.43194;-46.95778
"cruz das almas";34;"estado de bahía";"brazil";-12.67;-39.10194
