source;target;2013
brazil;brazil;13028
brazil;spain;56
brazil;united states;57
brazil;united kingdom;24
brazil;canada;11
brazil;france;28
brazil;portugal;79
brazil;belgium;6
brazil;uruguay;0
brazil;germany;15
brazil;australia;5
brazil;colombia;1
brazil;belize;1
brazil;argentina;4
brazil;japan;1
brazil;chile;1
brazil;netherlands;5
brazil;italy;12
brazil;peru;0
brazil;denmark;0
brazil;switzerland;0
brazil;sweden;1
brazil;cuba;0
brazil;venezuela;0
spain;brazil;4
spain;spain;57
spain;united states;0
spain;united kingdom;0
spain;canada;0
spain;france;0
spain;portugal;0
spain;belgium;0
spain;uruguay;0
spain;germany;0
spain;australia;0
spain;colombia;0
spain;belize;0
spain;argentina;0
spain;japan;0
spain;chile;0
spain;netherlands;0
spain;italy;0
spain;peru;0
spain;denmark;0
spain;switzerland;0
spain;sweden;0
spain;cuba;0
spain;venezuela;0
united states;brazil;24
united states;spain;0
united states;united states;18
united states;united kingdom;0
united states;canada;0
united states;france;0
united states;portugal;0
united states;belgium;0
united states;uruguay;0
united states;germany;0
united states;australia;0
united states;colombia;0
united states;belize;0
united states;argentina;0
united states;japan;0
united states;chile;0
united states;netherlands;0
united states;italy;0
united states;peru;0
united states;denmark;0
united states;switzerland;0
united states;sweden;0
united states;cuba;0
united states;venezuela;0
united kingdom;brazil;8
united kingdom;spain;0
united kingdom;united states;0
united kingdom;united kingdom;9
united kingdom;canada;0
united kingdom;france;0
united kingdom;portugal;0
united kingdom;belgium;0
united kingdom;uruguay;0
united kingdom;germany;0
united kingdom;australia;0
united kingdom;colombia;0
united kingdom;belize;0
united kingdom;argentina;0
united kingdom;japan;0
united kingdom;chile;0
united kingdom;netherlands;0
united kingdom;italy;0
united kingdom;peru;0
united kingdom;denmark;0
united kingdom;switzerland;0
united kingdom;sweden;0
united kingdom;cuba;0
united kingdom;venezuela;0
canada;brazil;1
canada;spain;0
canada;united states;0
canada;united kingdom;0
canada;canada;0
canada;france;0
canada;portugal;0
canada;belgium;0
canada;uruguay;0
canada;germany;0
canada;australia;0
canada;colombia;0
canada;belize;0
canada;argentina;0
canada;japan;0
canada;chile;0
canada;netherlands;0
canada;italy;0
canada;peru;0
canada;denmark;0
canada;switzerland;0
canada;sweden;0
canada;cuba;0
canada;venezuela;0
france;brazil;9
france;spain;0
france;united states;0
france;united kingdom;0
france;canada;0
france;france;13
france;portugal;1
france;belgium;0
france;uruguay;0
france;germany;0
france;australia;0
france;colombia;0
france;belize;0
france;argentina;0
france;japan;0
france;chile;0
france;netherlands;0
france;italy;0
france;peru;0
france;denmark;0
france;switzerland;0
france;sweden;0
france;cuba;0
france;venezuela;0
portugal;brazil;7
portugal;spain;1
portugal;united states;0
portugal;united kingdom;1
portugal;canada;0
portugal;france;0
portugal;portugal;28
portugal;belgium;0
portugal;uruguay;0
portugal;germany;0
portugal;australia;0
portugal;colombia;0
portugal;belize;0
portugal;argentina;0
portugal;japan;0
portugal;chile;0
portugal;netherlands;0
portugal;italy;0
portugal;peru;0
portugal;denmark;0
portugal;switzerland;0
portugal;sweden;0
portugal;cuba;0
portugal;venezuela;0
belgium;brazil;2
belgium;spain;0
belgium;united states;0
belgium;united kingdom;1
belgium;canada;0
belgium;france;0
belgium;portugal;0
belgium;belgium;2
belgium;uruguay;0
belgium;germany;0
belgium;australia;0
belgium;colombia;0
belgium;belize;0
belgium;argentina;0
belgium;japan;0
belgium;chile;0
belgium;netherlands;0
belgium;italy;0
belgium;peru;0
belgium;denmark;0
belgium;switzerland;0
belgium;sweden;0
belgium;cuba;0
belgium;venezuela;0
uruguay;brazil;0
uruguay;spain;0
uruguay;united states;0
uruguay;united kingdom;0
uruguay;canada;0
uruguay;france;0
uruguay;portugal;0
uruguay;belgium;0
uruguay;uruguay;0
uruguay;germany;0
uruguay;australia;0
uruguay;colombia;0
uruguay;belize;0
uruguay;argentina;0
uruguay;japan;0
uruguay;chile;0
uruguay;netherlands;0
uruguay;italy;0
uruguay;peru;0
uruguay;denmark;0
uruguay;switzerland;0
uruguay;sweden;0
uruguay;cuba;0
uruguay;venezuela;0
germany;brazil;3
germany;spain;0
germany;united states;0
germany;united kingdom;0
germany;canada;0
germany;france;0
germany;portugal;0
germany;belgium;0
germany;uruguay;0
germany;germany;0
germany;australia;0
germany;colombia;0
germany;belize;0
germany;argentina;0
germany;japan;0
germany;chile;0
germany;netherlands;0
germany;italy;0
germany;peru;0
germany;denmark;0
germany;switzerland;0
germany;sweden;0
germany;cuba;0
germany;venezuela;0
australia;brazil;0
australia;spain;0
australia;united states;0
australia;united kingdom;0
australia;canada;0
australia;france;0
australia;portugal;0
australia;belgium;0
australia;uruguay;0
australia;germany;0
australia;australia;0
australia;colombia;0
australia;belize;0
australia;argentina;0
australia;japan;0
australia;chile;0
australia;netherlands;0
australia;italy;0
australia;peru;0
australia;denmark;0
australia;switzerland;0
australia;sweden;0
australia;cuba;0
australia;venezuela;0
colombia;brazil;12
colombia;spain;0
colombia;united states;0
colombia;united kingdom;0
colombia;canada;0
colombia;france;0
colombia;portugal;0
colombia;belgium;0
colombia;uruguay;0
colombia;germany;0
colombia;australia;0
colombia;colombia;1
colombia;belize;0
colombia;argentina;0
colombia;japan;0
colombia;chile;0
colombia;netherlands;0
colombia;italy;0
colombia;peru;0
colombia;denmark;0
colombia;switzerland;0
colombia;sweden;0
colombia;cuba;0
colombia;venezuela;0
belize;brazil;1
belize;spain;0
belize;united states;0
belize;united kingdom;0
belize;canada;0
belize;france;0
belize;portugal;0
belize;belgium;0
belize;uruguay;0
belize;germany;0
belize;australia;0
belize;colombia;0
belize;belize;0
belize;argentina;0
belize;japan;0
belize;chile;0
belize;netherlands;0
belize;italy;0
belize;peru;0
belize;denmark;0
belize;switzerland;0
belize;sweden;0
belize;cuba;0
belize;venezuela;0
argentina;brazil;0
argentina;spain;0
argentina;united states;1
argentina;united kingdom;0
argentina;canada;0
argentina;france;0
argentina;portugal;0
argentina;belgium;0
argentina;uruguay;0
argentina;germany;0
argentina;australia;0
argentina;colombia;0
argentina;belize;0
argentina;argentina;9
argentina;japan;0
argentina;chile;0
argentina;netherlands;0
argentina;italy;1
argentina;peru;0
argentina;denmark;0
argentina;switzerland;0
argentina;sweden;0
argentina;cuba;0
argentina;venezuela;0
japan;brazil;0
japan;spain;0
japan;united states;0
japan;united kingdom;0
japan;canada;0
japan;france;0
japan;portugal;0
japan;belgium;0
japan;uruguay;0
japan;germany;0
japan;australia;0
japan;colombia;0
japan;belize;0
japan;argentina;0
japan;japan;3
japan;chile;0
japan;netherlands;0
japan;italy;0
japan;peru;0
japan;denmark;0
japan;switzerland;0
japan;sweden;0
japan;cuba;0
japan;venezuela;0
chile;brazil;2
chile;spain;0
chile;united states;1
chile;united kingdom;0
chile;canada;0
chile;france;0
chile;portugal;0
chile;belgium;0
chile;uruguay;0
chile;germany;0
chile;australia;0
chile;colombia;0
chile;belize;0
chile;argentina;0
chile;japan;0
chile;chile;2
chile;netherlands;0
chile;italy;0
chile;peru;0
chile;denmark;0
chile;switzerland;0
chile;sweden;0
chile;cuba;0
chile;venezuela;0
