"no_ies";"latitude";"longitude";"count"
"UNIVERSIDADE PAULISTA";-23.548;-46.636;332
"UNIVERSIDADE ESTÁCIO DE SÁ";-22.903;-43.208;327
"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";-22.903;-43.208;198
"UNIVERSIDADE BANDEIRANTE DE SÃO PAULO";-23.548;-46.636;190
"UNIVERSIDADE NOVE DE JULHO";-23.548;-46.636;183
"UNIVERSIDADE DE SÃO PAULO";-23.548;-46.636;155
"CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO";-23.548;-46.636;146
"UNIVERSIDADE FEDERAL DA BAHIA";-12.971;-38.511;144
"UNIVERSIDADE FEDERAL DE MINAS GERAIS";-19.817;-43.956;144
"UNIVERSIDADE DE BRASÍLIA";-15.78;-47.93;130
"UNIVERSIDADE FEDERAL DO PARANÁ";-25.428;-49.273;110
"UNIVERSIDADE ANHEMBI MORUMBI";-23.548;-46.636;107
"UNIVERSIDADE FEDERAL DE SANTA CATARINA";-27.597;-48.549;105
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";-5.795;-35.209;105
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";-30.033;-51.23;105
"UNIVERSIDADE FEDERAL DE SANTA MARIA";-29.684;-53.807;101
"UNIVERSIDADE FEDERAL FLUMINENSE";-22.883;-43.104;101
"CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS";-23.548;-46.636;99
"UNIVERSIDADE CRUZEIRO DO SUL";-23.548;-46.636;99
"UNIVERSIDADE FEDERAL DA PARAÍBA";-7.115;-34.863;99
"UNIVERSIDADE FEDERAL DE UBERLÂNDIA";-18.919;-48.277;98
"UNIVERSIDADE ESTADUAL DE LONDRINA";-23.31;-51.163;96
"UNIVERSIDADE FEDERAL DE GOIÁS";-16.679;-49.254;94
"Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL";-23.548;-46.636;92
"UNIVERSIDADE FEDERAL DE PERNAMBUCO";-8.054;-34.881;88
"UNIVERSIDADE FEDERAL DE SERGIPE";-11.015;-37.206;87
"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO";-20.319;-40.338;87
"UNIVERSIDADE FEDERAL DO CEARÁ";-3.717;-38.543;85
"UNIVERSIDADE DE CAXIAS DO SUL";-29.168;-51.179;84
"UNIVERSIDADE LUTERANA DO BRASIL";-29.918;-51.184;84
"UNIVERSIDADE FEDERAL DE PELOTAS";-31.772;-52.343;83
"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";-21.764;-43.35;81
"UNIVERSIDADE FEDERAL DO AMAZONAS";-3.102;-60.025;79
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS";-19.817;-43.956;76
"UNIVERSIDADE DO VALE DO RIO DOS SINOS";-29.76;-51.147;76
"UNIVERSIDADE FEDERAL DO PARÁ";-1.456;-48.504;75
"CENTRO UNIVERSITÁRIO UNA";-19.817;-43.956;74
"CENTRO UNIVERSITÁRIO JORGE AMADO";-12.971;-38.511;73
"UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO";-22.903;-43.208;70
"UNIVERSIDADE DE PASSO FUNDO";-28.263;-52.407;68
"UNIVERSIDADE ESTADUAL DE CAMPINAS";-22.906;-47.061;68
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS";-22.906;-47.061;66
"UNIVERSIDADE ESTADUAL DE MARINGÁ";-23.425;-51.939;63
"UNIVERSIDADE FEDERAL DE VIÇOSA";-20.754;-42.882;63
"UNIVERSIDADE GAMA FILHO";-22.903;-43.208;63
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ";-25.428;-49.273;62
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL";-30.033;-51.23;61
"UNIVERSIDADE FEDERAL DE SÃO CARLOS";-22.018;-47.891;61
"UNIVERSIDADE FEDERAL DO PIAUÍ";-5.089;-42.802;61
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-3.102;-60.025;59
"UNIVERSIDADE CÂNDIDO MENDES";-22.903;-43.208;58
"UNIVERSIDADE FEDERAL DE MATO GROSSO";-15.596;-56.097;57
"UNIVERSIDADE FEEVALE";-29.678;-51.131;57
"UNIVERSIDADE TUIUTI DO PARANÁ";-25.428;-49.273;57
"CENTRO UNIVERSITÁRIO AUGUSTO MOTTA";-22.903;-43.208;56
"CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ";-21.178;-47.81;56
"CENTRO UNIVERSITÁRIO DE BELO HORIZONTE";-19.817;-43.956;56
"UNIVERSIDADE FEDERAL DO RIO GRANDE";-32.035;-52.099;56
"UNIVERSIDADE PAULISTA";-22.906;-47.061;56
"UNIVERSIDADE POSITIVO";-25.428;-49.273;56
"CENTRO UNIVERSITÁRIO DA CIDADE";-22.903;-43.208;55
"UNIVERSIDADE BRAZ CUBAS";-23.523;-46.188;55
"UNIVERSIDADE CIDADE DE SÃO PAULO";-23.548;-46.636;55
"UNIVERSIDADE DE FRANCA";-20.539;-47.401;55
"UNIVERSIDADE DE SANTA CRUZ DO SUL";-29.718;-52.426;55
"UNIVERSIDADE DE SOROCABA";-23.502;-47.458;55
"UNIVERSIDADE DE TAUBATÉ";-23.026;-45.555;55
