Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1,"florianopolis,santa catarina,brazil",,florianopolis,santa catarina,brazil,-27.597,-48.549
2,"sao paulo,sao paulo,brazil",,sao paulo,sao paulo,brazil,-23.548,-46.636
3,"rio de janeiro,rio de janeiro,brazil",,rio de janeiro,rio de janeiro,brazil,-22.903,-43.208
4,"niteroi,rio de janeiro,brazil",,niteroi,rio de janeiro,brazil,-22.883,-43.104
5,"brasilia,federal district,brazil",,brasilia,federal district,brazil,-15.78,-47.93
6,"salvador,bahia,brazil",,salvador,bahia,brazil,-12.971,-38.511
7,"belo horizonte,minas gerais,brazil",,belo horizonte,minas gerais,brazil,-19.817,-43.956
8,"belem,para,brazil",,belem,para,brazil,-1.456,-48.504
9,"recife,pernambuco,brazil",,recife,pernambuco,brazil,-8.054,-34.881
10,"porto alegre,rio grande do sul,brazil",,porto alegre,rio grande do sul,brazil,-30.033,-51.23
11,"santa maria,rio grande do sul,brazil",,santa maria,rio grande do sul,brazil,-29.684,-53.807
12,"paris,île-de-france,france",,paris,île-de-france,france,48.85341,2.3488
13,"joao pessoa,paraiba,brazil",,joao pessoa,paraiba,brazil,-7.115,-34.863
14,"fortaleza,ceara,brazil",,fortaleza,ceara,brazil,-3.717,-38.543
15,"vicosa,minas gerais,brazil",,vicosa,minas gerais,brazil,-20.754,-42.882
16,"london,england,united kingdom",,london,england,united kingdom,51.50853,-0.12574
17,"maceio,alagoas,brazil",,maceio,alagoas,brazil,-9.666,-35.735
18,"natal,rio grande do norte,brazil",,natal,rio grande do norte,brazil,-5.795,-35.209
19,"sheffield,england,united kingdom",,sheffield,england,united kingdom,53.38297,-1.4659
20,"manaus,amazonas,brazil",,manaus,amazonas,brazil,-3.102,-60.025
21,"gent,flanders,belgium",,gent,flanders,belgium,51.05,3.71667
22,"sao cristovao,sergipe,brazil",,sao cristovao,sergipe,brazil,-11.015,-37.206
23,"sao bernardo do campo,sao paulo,brazil",,sao bernardo do campo,sao paulo,brazil,-23.694,-46.565
24,"sao carlos,sao paulo,brazil",,sao carlos,sao paulo,brazil,-22.018,-47.891
25,"oxford,england,united kingdom",,oxford,england,united kingdom,51.75222,-1.25596
26,"campina grande,paraiba,brazil",,campina grande,paraiba,brazil,-7.231,-35.881
27,"east lansing,michigan,united states",,east lansing,michigan,united states,42.73698,-84.48387
28,"faro,faro,portugal",,faro,faro,portugal,37.01937,-7.93223
29,"lavras,minas gerais,brazil",,lavras,minas gerais,brazil,-21.245,-45
30,"salamanca,madrid,spain",,salamanca,madrid,spain,40.42972,-3.67975
31,"curitiba,parana,brazil",,curitiba,parana,brazil,-25.428,-49.273
32,"campinas,sao paulo,brazil",,campinas,sao paulo,brazil,-22.906,-47.061
33,"cuiaba,mato grosso,brazil",,cuiaba,mato grosso,brazil,-15.596,-56.097
34,"turin,piedmont,italy",,turin,piedmont,italy,45.07049,7.68682
35,"bucaramanga,santander,colombia",,bucaramanga,santander,colombia,7.12539,-73.1198
36,"bauru,sao paulo,brazil",,bauru,sao paulo,brazil,-22.315,-49.061
37,"ribeirao preto,sao paulo,brazil",,ribeirao preto,sao paulo,brazil,-21.178,-47.81
38,"feira de santana,bahia,brazil",,feira de santana,bahia,brazil,-12.267,-38.967
39,"cambridge,england,united kingdom",,cambridge,england,united kingdom,52.2,0.11667
40,"valencia,valencia,spain",,valencia,valencia,spain,39.46975,-0.37739
41,"sao caetano do sul,sao paulo,brazil",,sao caetano do sul,sao paulo,brazil,-23.623,-46.551
42,"guarulhos,sao paulo,brazil",,guarulhos,sao paulo,brazil,-23.463,-46.533
43,"new york city,new york,united states",,new york city,new york,united states,40.71427,-74.00597
44,"berlin,berlin,germany",,berlin,berlin,germany,52.52437,13.41053
45,"lisbon,lisbon,portugal",,lisbon,lisbon,portugal,38.71667,-9.13333
46,"barcelona,catalonia,spain",,barcelona,catalonia,spain,41.38879,2.15899
47,"caxias do sul,rio grande do sul,brazil",,caxias do sul,rio grande do sul,brazil,-29.168,-51.179
48,"ouro preto,minas gerais,brazil",,ouro preto,minas gerais,brazil,-20.288,-43.508
49,"goiania,goias,brazil",,goiania,goias,brazil,-16.679,-49.254
50,"teresina,piaui,brazil",,teresina,piaui,brazil,-5.089,-42.802
51,"braga,braga,portugal",,braga,braga,portugal,41.55032,-8.42005
52,"concepcion,biobío,chile",,concepcion,biobío,chile,-36.82699,-73.04977
53,"santa rita do sapucai,minas gerais,brazil",,santa rita do sapucai,minas gerais,brazil,-22.252,-45.703
54,"cruz das almas,bahia,brazil",,cruz das almas,bahia,brazil,-12.67,-39.102
55,"sao leopoldo,rio grande do sul,brazil",,sao leopoldo,rio grande do sul,brazil,-29.76,-51.147
56,"seropedica,rio de janeiro,brazil",,seropedica,rio de janeiro,brazil,-22.744,-43.708
57,"montevideo,montevideo,uruguay",,montevideo,montevideo,uruguay,-34.90328,-56.18816
58,"campo grande,mato grosso do sul,brazil",,campo grande,mato grosso do sul,brazil,-20.443,-54.646
59,"champaign,illinois,united states",,champaign,illinois,united states,40.11642,-88.24338
60,"norwich,england,united kingdom",,norwich,england,united kingdom,52.62783,1.29834
61,"uberlandia,minas gerais,brazil",,uberlandia,minas gerais,brazil,-18.919,-48.277
62,"geneva,illinois,united states",,geneva,illinois,united states,41.88753,-88.30535
63,"manhattan,kansas,united states",,manhattan,kansas,united states,39.18361,-96.57167
64,"ilheus,bahia,brazil",,ilheus,bahia,brazil,-14.789,-39.049
65,"maringa,parana,brazil",,maringa,parana,brazil,-23.425,-51.939
66,"canoas,rio grande do sul,brazil",,canoas,rio grande do sul,brazil,-29.918,-51.184
67,"waterloo,ontario,canada",,waterloo,ontario,canada,43.4668,-80.51639
68,"coventry,england,united kingdom",,coventry,england,united kingdom,52.40656,-1.51217
69,"colchester,england,united kingdom",,colchester,england,united kingdom,51.88921,0.90421
70,"padova,veneto,italy",,padova,veneto,italy,45.40797,11.88586
71,"sao jose dos campos,sao paulo,brazil",,sao jose dos campos,sao paulo,brazil,-23.179,-45.887
72,"san ignacio,cayo,belize",,san ignacio,cayo,belize,17.15297,-89.08058
73,"crato,ceara,brazil",,crato,ceara,brazil,-7.234,-39.409
74,"leioa,basque country,spain",,leioa,basque country,spain,43.33333,-2.98333
75,"lyon,rhône-alpes,france",,lyon,rhône-alpes,france,45.74846,4.84671
76,"pelotas,rio grande do sul,brazil",,pelotas,rio grande do sul,brazil,-31.772,-52.343
77,"londrina,parana,brazil",,londrina,parana,brazil,-23.31,-51.163
78,"madison,wisconsin,united states",,madison,wisconsin,united states,43.07305,-89.40123
79,"manchester,england,united kingdom",,manchester,england,united kingdom,53.48095,-2.23743
80,"porto,porto,portugal",,porto,porto,portugal,41.14961,-8.61099
81,"petropolis,rio de janeiro,brazil",,petropolis,rio de janeiro,brazil,-22.505,-43.179
82,"sao luis,maranhao,brazil",,sao luis,maranhao,brazil,-2.53,-44.303
83,"porto velho,rondonia,brazil",,porto velho,rondonia,brazil,-8.762,-63.904
84,"cambridge,massachusetts,united states",,cambridge,massachusetts,united states,42.3751,-71.10561
85,"juiz de fora,minas gerais,brazil",,juiz de fora,minas gerais,brazil,-21.764,-43.35
